C1_B,C2_B,C3_B,C4_B,,C1_G,C2_G,C3_G,C4_G,C1_BG,C4_BG,DropoutRate,TOT_6_10_15,Enrolled_primary,P_Enrollment_Rate,P_URB_POP,OVERALL_LIT_Rate,FEMALE_LIT,SCH1,SCH2,SCH3,SCH6,Total_schools_withPrimary,SCOMP1,SCOMP2,SCOMP3,SCOMP6,Schools_with_computers,Percent_schools_with_computers,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL6,Schools_with_boys_toilets,Percent_schools_with_boys_toilet,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL6,Schools_with_girls_toilets,Percent_schools_with_girls_toilet,SPLAY1,SPLAY2,SPLAY3,SPLAY6,Schools_with_playground,Percent_schools_with_playground,SWAT1,SWAT2,SWAT3,SWAT6,Schools_with_drinking_water,Percent_schools_with_drinking_water,SELE1,SELE2,SELE3,SELE6,Schools_with_electricity,Percent_schools_with_electricity,ROAD1,ROAD2,ROAD3,ROAD6,Schools_with_Roads,Percent_schools_with_Roads,CLS1,CLS2,CLS3,CLS6,Number of Classrooms,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ6G,Classrooms_requiring_major repair,Percent_classrooms_requiring_major repair,STCH1,STCH2,STCH3,STCH6,Total_sinle_teacher_schools,Percent_single_teacher_schools
23968,21992,21551,21405,10.69342457,23188,21063,20368,20387,47156,41792,11.3750106,193075,173922,90.08002072,14.53,59.54,47.01,1663,668,12,94,2437,57,76,12,23,168,6.893721789,1277,582,11,87,1957,80.30365203,1324,599,11,88,2022,82.97086582,285,202,12,52,551,22.60976611,1488,628,12,92,2220,91.09560936,53,84,12,27,176,7.221994255,635,387,12,60,1094,44.89125975,4886,5008,284,897,11075,621,588,0,113,1322,11.93679458,431,12,0,0,443,18.17808781
25279,24387,24392,23252,8.018513391,22595,21367,22026,21024,47874,44276,7.515561683,222511,184322,82.83725299,55.55,76.13,67.33,1493,813,47,138,2491,63,184,45,76,368,14.77318346,1462,794,46,137,2439,97.91248495,1462,797,47,134,2440,97.95262947,536,382,42,86,1046,41.99116821,1398,791,47,136,2372,95.22280209,153,351,47,105,656,26.3348053,761,622,46,117,1546,62.06342834,4336,6416,1392,1417,13561,460,507,2,87,1056,7.787036354,351,9,0,0,360,14.4520273
10744,9701,10359,9341,13.05845123,9959,9354,10077,9124,20703,18465,10.81002753,98202,78659,80.09918332,9.62,63.73,50.08,765,447,2,45,1259,15,28,1,4,48,3.812549643,765,445,2,45,1257,99.84114376,764,447,2,44,1257,99.84114376,319,153,2,21,495,39.31691819,760,444,2,45,1251,99.36457506,119,170,2,24,315,25.01985703,527,334,2,41,904,71.80301827,2407,3111,40,378,5936,59,138,0,18,215,3.621967655,190,7,0,0,197,15.64733916
12182,11522,11495,11590,4.859628961,12059,11638,11282,11292,24241,22882,5.606204365,118883,93060,78.27864371,24.29,68.85,56.19,1154,573,20,53,1800,33,45,14,9,101,5.611111111,1110,569,20,53,1752,97.33333333,1070,568,20,52,1710,95,372,183,14,20,589,32.72222222,1063,565,20,53,1701,94.5,80,96,16,17,209,11.61111111,563,386,18,41,1008,56,3161,4493,236,455,8345,118,307,3,40,468,5.608148592,369,8,0,0,377,20.94444444
8657,9323,8384,7639,11.75926995,8049,8753,8333,7197,16706,14836,11.19358314,71105,66335,93.291611,7.16,67.59,59.38,756,369,1,41,1167,45,44,1,8,98,8.397600686,674,333,1,36,1044,89.46015424,644,327,1,36,1008,86.37532134,254,195,1,28,478,40.95972579,645,349,1,41,1036,88.77463582,25,28,1,11,65,5.569837189,168,131,1,20,320,27.42073693,2426,2748,14,339,5527,170,254,0,27,451,8.159942102,240,15,0,0,255,21.85089974
12512,12378,12000,11154,10.85358056,12009,11567,11588,11023,24521,22177,9.559153379,106368,94231,88.58961342,7.05,61.23,50.26,878,435,2,52,1367,31,53,1,9,94,6.876371617,876,433,2,52,1363,99.70738844,873,432,2,52,1359,99.41477688,405,218,2,39,664,48.57351865,808,419,2,52,1281,93.7088515,21,45,1,12,79,5.779078274,214,207,2,33,456,33.35771763,3249,3513,15,418,7195,185,305,0,39,529,7.352328006,311,13,0,2,326,23.84784199
9237,7865,7423,6937,24.89985926,8574,7255,6969,6706,17811,13643,23.40126888,65466,60966,93.12620291,8.51,64.51,53.71,727,325,2,53,1107,14,20,2,20,56,5.058717254,653,310,2,52,1017,91.8699187,652,309,2,51,1014,91.59891599,185,158,2,33,378,34.14634146,620,287,2,52,961,86.81120145,24,39,2,25,90,8.130081301,332,213,2,40,587,53.02619693,1961,2267,51,494,4773,203,228,0,44,475,9.951812277,221,14,0,0,235,21.22854562
11407,10269,10718,10641,6.715174893,9785,9189,9893,10171,21192,20812,1.793129483,102814,82073,79.8266773,44.13,73.92,63.49,510,299,25,90,924,35,69,21,32,157,16.99134199,482,277,25,81,865,93.61471861,506,293,25,86,910,98.48484848,171,109,24,44,348,37.66233766,482,293,25,86,886,95.88744589,71,125,22,53,271,29.32900433,257,234,22,68,581,62.87878788,1900,2817,451,975,6143,114,286,0,64,464,7.553312714,118,1,1,0,120,12.98701299
11728,11846,11930,12562,-7.111186903,11122,11515,11596,12056,22850,24618,-7.737417943,117938,94355,80.00390035,,,65.84,1033,638,6,59,1736,40,87,5,34,166,9.562211982,861,541,6,49,1457,83.92857143,1020,637,6,59,1722,99.19354839,178,169,6,24,377,21.71658986,1026,636,6,58,1726,99.42396313,129,242,6,45,422,24.30875576,977,616,6,56,1655,95.33410138,3003,3820,81,458,7362,842,800,0,73,1715,23.29530019,56,4,1,1,62,3.571428571
5004,4865,5066,5130,-2.517985612,4850,4669,4936,4831,9854,9961,-1.085853461,47299,39351,83.19626208,,,70.05,410,259,11,26,706,16,92,11,19,138,19.54674221,403,258,11,26,698,98.86685552,406,258,11,26,701,99.2917847,84,56,11,15,166,23.51274788,410,258,11,25,704,99.71671388,54,144,11,23,232,32.8611898,369,242,11,24,646,91.50141643,1157,1532,199,254,3142,214,219,0,12,445,14.16295353,0,0,0,0,0,0
9237,9142,9220,9507,-2.923026957,8553,8428,8359,8805,17790,18312,-2.934232715,86777,71251,82.1081623,,,68.47,936,480,13,49,1478,30,106,4,29,169,11.43437077,739,408,11,42,1200,81.19079838,931,479,13,49,1472,99.59404601,164,145,11,18,338,22.86874154,936,480,13,49,1478,100,129,214,12,37,392,26.52232747,854,465,12,45,1376,93.09878214,2726,2834,247,411,6218,560,448,0,41,1049,16.87037633,8,2,1,0,11,0.744248985
2859,2842,2416,2963,-3.637635537,2582,2494,2258,2720,5441,5683,-4.447711818,29409,21134,71.86235506,7.61,73.07,63.36,370,211,0,8,589,6,82,0,5,93,15.78947368,360,207,0,7,574,97.4533107,361,210,0,7,578,98.13242784,76,61,0,7,144,24.44821732,370,211,0,8,589,100,31,122,0,5,158,26.82512733,339,202,0,8,549,93.20882852,1056,1132,0,63,2251,258,266,0,8,532,23.63394047,3,0,0,0,3,0.509337861
21347,20671,20593,21077,1.264814728,20086,19355,20098,20192,41433,41269,0.395819757,186399,163419,87.67160768,35.5,74.13,65.93,1802,790,19,121,2732,17,142,12,41,212,7.75988287,1792,788,17,113,2710,99.19472914,1796,788,18,121,2723,99.67057101,412,246,12,47,717,26.24450952,1802,790,19,121,2732,100,226,287,18,75,606,22.18155198,1316,626,19,98,2059,75.36603221,5545,4700,359,875,11479,876,595,7,92,1570,13.67714958,100,1,0,0,101,3.696925329
21751,21803,20525,20533,5.599742541,21017,21244,19614,19404,42768,39937,6.619435092,190338,165891,87.15600668,14.04,69,58.7,1775,798,5,60,2638,87,153,5,45,290,10.99317665,1722,783,5,48,2558,96.96739955,1747,781,5,60,2593,98.29416224,437,284,5,43,769,29.15087187,1775,798,5,60,2638,100,157,309,5,51,522,19.78771797,1775,798,5,60,2638,100,4457,4284,85,577,9403,865,675,0,52,1592,16.93076678,106,0,0,0,106,4.018195603
26712,26718,32056,31454,-17.75232105,24985,24579,30370,29637,51697,61091,-18.17126719,190338,226511,119.0046128,7.67,63.98,53.18,2897,1221,1,75,4194,157,219,1,42,419,9.990462566,2693,1188,1,67,3949,94.15832141,2868,1220,1,73,4162,99.23700525,775,446,1,38,1260,30.04291845,2897,1221,1,75,4194,100,212,479,1,48,740,17.6442537,2695,1198,1,73,3967,94.58750596,7762,6804,16,510,15092,1555,1214,0,51,2820,18.68539624,25,2,0,0,27,0.643776824
24478,24070,24543,24336,0.580112754,23358,23292,24175,23495,47836,47831,0.010452379,212273,191747,90.33037645,10.92,80.66,72.95,1628,805,4,24,2461,142,181,4,14,341,13.85615603,1569,783,4,23,2379,96.66802113,1570,785,4,24,2383,96.83055668,479,370,4,14,867,35.22958147,1625,805,4,24,2458,99.87809833,459,476,4,23,962,39.08980089,1456,743,4,23,2226,90.45103616,5252,4762,30,179,10223,1004,880,0,11,1895,18.53663308,22,0,0,0,22,0.893945551
14159,14903,14828,15470,-9.25912847,13410,14099,14012,14221,27569,29691,-7.697051036,134734,115102,85.42906764,12.33,72.51,60.44,1154,604,0,28,1786,43,122,0,17,182,10.19036954,867,500,0,26,1393,77.99552072,1144,590,0,28,1762,98.65621501,264,229,0,21,514,28.7793953,1154,604,0,28,1786,100,475,367,0,27,869,48.65621501,1070,582,0,28,1680,94.06494961,3632,3423,0,217,7272,563,541,0,24,1128,15.51155116,14,0,0,0,14,0.78387458
12210,13086,13756,13440,-10.07371007,11466,12247,12486,12498,23676,25938,-9.553978713,116471,101189,86.8791373,5.8,85.93,79.51,1218,619,0,15,1852,36,130,0,9,175,9.44924406,979,553,0,14,1546,83.47732181,1156,612,0,15,1783,96.27429806,175,186,0,6,367,19.81641469,1214,618,0,15,1847,99.7300216,212,350,0,11,573,30.93952484,1019,531,0,14,1564,84.44924406,3400,3614,0,153,7167,611,653,0,5,1269,17.7061532,66,1,0,0,67,3.617710583
8629,9210,9080,9204,-6.663576312,8133,8475,8660,8399,16762,17603,-5.017301038,78807,69790,88.55812301,10.2,87.13,80.88,1010,497,3,23,1533,21,143,2,15,181,11.80691455,685,444,3,22,1154,75.27723418,988,496,3,23,1510,98.49967384,158,173,3,11,345,22.50489237,1007,488,3,23,1521,99.21722114,180,314,3,20,517,33.72472277,912,475,2,22,1411,92.04174821,3190,3319,45,227,6781,544,371,1,6,922,13.59681463,9,0,0,0,9,0.587084149
19609,19895,20205,20523,-4.661124994,18034,18517,18521,19108,37643,39631,-5.281194379,192144,154412,80.36264468,27.94,84.2,77.64,1579,870,7,100,2556,90,214,6,79,389,15.21909233,1479,850,6,96,2431,95.10954617,1403,829,7,90,2329,91.11893584,219,262,5,52,538,21.0485133,1579,870,7,100,2556,100,321,488,7,78,894,34.97652582,1518,840,7,97,2462,96.32237872,5195,5710,116,726,11747,898,834,4,56,1792,15.25495871,96,4,0,1,101,3.951486698
18526,19069,18376,18581,-0.29688006,16650,17352,16872,17104,35176,35685,-1.447009325,154234,142530,92.41153053,7.39,80.44,73.37,1387,756,1,34,2178,49,143,1,30,223,10.23875115,1353,743,1,26,2123,97.47474747,1260,723,1,30,2014,92.47015611,299,279,1,23,602,27.64003673,1383,756,1,34,2174,99.81634527,166,347,1,29,543,24.93112948,1303,736,1,33,2073,95.17906336,4093,4699,16,325,9133,721,763,0,40,1524,16.68674039,31,1,0,0,32,1.469237833
10527,10527,10508,10756,-2.175358602,9336,9862,9330,9385,19863,20141,-1.399587172,100425,80231,79.89146129,9.83,79.41,71.4,896,584,1,21,1502,21,116,1,12,150,9.986684421,859,579,1,20,1459,97.13715047,871,580,1,21,1473,98.06924101,282,278,1,13,574,38.21571238,896,584,1,21,1502,100,98,223,1,17,339,22.56990679,828,564,1,20,1413,94.07456724,2554,3453,16,170,6193,458,586,0,17,1061,17.13224608,8,0,0,0,8,0.532623169
